127.0.0.1, 2016-05-16 14:50:43, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.643508
127.0.0.1, 2016-05-16 14:50:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000675
127.0.0.1, 2016-05-16 14:51:46, GET, /fmgqcx/user/index, HTTP/1.1, 200, 1.090837
127.0.0.1, 2016-05-16 14:51:46, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 304, 0.000408
127.0.0.1, 2016-05-16 14:51:46, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000389
127.0.0.1, 2016-05-16 14:51:46, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000386
127.0.0.1, 2016-05-16 14:51:47, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 304, 0.001055
127.0.0.1, 2016-05-16 14:51:47, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 304, 0.001071
127.0.0.1, 2016-05-16 14:51:47, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000754
127.0.0.1, 2016-05-16 14:51:47, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000784
127.0.0.1, 2016-05-16 14:51:47, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 304, 0.001098
127.0.0.1, 2016-05-16 14:51:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000281
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.643716
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001294
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 304, 0.003369
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 304, 0.002817
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 304, 0.002450
127.0.0.1, 2016-05-16 14:59:18, GET, /fmgqcx/static/lhgdialog/lhgdialog.min.js, HTTP/1.1, 200, 0.001665
